dataset,selector,objective,acc_baseline,acc_post,rec_baseline,rec_post,prec_baseline,prec_post,f1_baseline,f1_post,ddp_baseline,ddp_post,deo_baseline,deo_post
dutch,topsis,ddp_kl,0.8096 ± 0.0000,0.7830 ± 0.0433,0.7603 ± 0.0000,0.7355 ± 0.1437,0.8265 ± 0.0000,0.8163 ± 0.0812,0.7920 ± 0.0000,0.7574 ± 0.0750,0.1762 ± 0.0000,0.1675 ± 0.0333,0.0588 ± 0.0000,0.0377 ± 0.0296
dutch,topsis,ddp_kl + deo_kl,0.8096 ± 0.0000,0.7519 ± 0.0794,0.7603 ± 0.0000,0.6951 ± 0.2287,0.8265 ± 0.0000,0.8126 ± 0.1149,0.7920 ± 0.0000,0.7064 ± 0.1613,0.1762 ± 0.0000,0.1525 ± 0.0541,0.0588 ± 0.0000,0.0253 ± 0.0256
dutch,topsis,deo,0.8096 ± 0.0000,0.6480 ± 0.1371,0.7603 ± 0.0000,0.8497 ± 0.1826,0.8265 ± 0.0000,0.6649 ± 0.1826,0.7920 ± 0.0000,0.7042 ± 0.0597,0.1762 ± 0.0000,0.0863 ± 0.0758,0.0588 ± 0.0000,0.0182 ± 0.0296
dutch,topsis,deo_kl,0.8096 ± 0.0000,0.6985 ± 0.1220,0.7603 ± 0.0000,0.7802 ± 0.2458,0.8265 ± 0.0000,0.7289 ± 0.1632,0.7920 ± 0.0000,0.6959 ± 0.1750,0.1762 ± 0.0000,0.1178 ± 0.0761,0.0588 ± 0.0000,0.0211 ± 0.0309
dutch,zenith,ddp,0.8096 ± 0.0000,0.7598 ± 0.0615,0.7603 ± 0.0000,0.6105 ± 0.2013,0.8265 ± 0.0000,0.8699 ± 0.0743,0.7920 ± 0.0000,0.6867 ± 0.1538,0.1762 ± 0.0000,0.1493 ± 0.0382,0.0588 ± 0.0000,0.0331 ± 0.0311
dutch,zenith,ddp + deo,0.8096 ± 0.0000,0.7556 ± 0.0584,0.7603 ± 0.0000,0.6607 ± 0.2271,0.8265 ± 0.0000,0.8333 ± 0.1001,0.7920 ± 0.0000,0.6980 ± 0.1373,0.1762 ± 0.0000,0.1509 ± 0.0418,0.0588 ± 0.0000,0.0299 ± 0.0263
dutch,zenith,ddp_kl,0.8096 ± 0.0000,0.7687 ± 0.0679,0.7603 ± 0.0000,0.7381 ± 0.1652,0.8265 ± 0.0000,0.8059 ± 0.1083,0.7920 ± 0.0000,0.7466 ± 0.0883,0.1762 ± 0.0000,0.1518 ± 0.0426,0.0588 ± 0.0000,0.0435 ± 0.0303
dutch,zenith,ddp_kl + deo_kl,0.8096 ± 0.0000,0.7738 ± 0.0685,0.7603 ± 0.0000,0.7137 ± 0.1979,0.8265 ± 0.0000,0.8217 ± 0.0914,0.7920 ± 0.0000,0.7313 ± 0.1740,0.1762 ± 0.0000,0.1553 ± 0.0438,0.0588 ± 0.0000,0.0442 ± 0.0283
dutch,zenith,deo,0.8096 ± 0.0000,0.7181 ± 0.0992,0.7603 ± 0.0000,0.8043 ± 0.1639,0.8265 ± 0.0000,0.7347 ± 0.1603,0.7920 ± 0.0000,0.7355 ± 0.0417,0.1762 ± 0.0000,0.1170 ± 0.0565,0.0588 ± 0.0000,0.0326 ± 0.0337
dutch,zenith,deo_kl,0.8096 ± 0.0000,0.7828 ± 0.0273,0.7603 ± 0.0000,0.6927 ± 0.1365,0.8265 ± 0.0000,0.8427 ± 0.0722,0.7920 ± 0.0000,0.7461 ± 0.0607,0.1762 ± 0.0000,0.1665 ± 0.0211,0.0588 ± 0.0000,0.0350 ± 0.0273
heart_failure,topsis,ddp,0.8163 ± 0.0000,0.7531 ± 0.0725,0.6667 ± 0.0000,0.6750 ± 0.2869,0.8000 ± 0.0000,0.7724 ± 0.1849,0.7273 ± 0.0000,0.6442 ± 0.1324,0.0021 ± 0.0000,0.0409 ± 0.0234,0.1071 ± 0.0000,0.1089 ± 0.1033
heart_failure,topsis,ddp + deo,0.8163 ± 0.0000,0.7867 ± 0.0683,0.6667 ± 0.0000,0.7056 ± 0.2337,0.8000 ± 0.0000,0.7786 ± 0.1448,0.7273 ± 0.0000,0.6918 ± 0.1372,0.0021 ± 0.0000,0.0412 ± 0.0306,0.1071 ± 0.0000,0.1196 ± 0.1019
heart_failure,topsis,ddp_kl,0.8163 ± 0.0000,0.8051 ± 0.0640,0.6667 ± 0.0000,0.6194 ± 0.2317,0.8000 ± 0.0000,0.7322 ± 0.2560,0.7273 ± 0.0000,0.6647 ± 0.2341,0.0021 ± 0.0000,0.0464 ± 0.0461,0.1071 ± 0.0000,0.0804 ± 0.0589
heart_failure,topsis,ddp_kl + deo_kl,0.8163 ± 0.0000,0.7714 ± 0.0721,0.6667 ± 0.0000,0.6306 ± 0.2800,0.8000 ± 0.0000,0.7516 ± 0.2302,0.7273 ± 0.0000,0.6332 ± 0.2027,0.0021 ± 0.0000,0.0704 ± 0.0389,0.1071 ± 0.0000,0.0857 ± 0.0944
heart_failure,topsis,deo,0.8163 ± 0.0000,0.7867 ± 0.0954,0.6667 ± 0.0000,0.6972 ± 0.1524,0.8000 ± 0.0000,0.7720 ± 0.1308,0.7273 ± 0.0000,0.7078 ± 0.0789,0.0021 ± 0.0000,0.0622 ± 0.0450,0.1071 ± 0.0000,0.0929 ± 0.0718
heart_failure,topsis,deo_kl,0.8163 ± 0.0000,0.7827 ± 0.0856,0.6667 ± 0.0000,0.6028 ± 0.2782,0.8000 ± 0.0000,0.7277 ± 0.2743,0.7273 ± 0.0000,0.6265 ± 0.2609,0.0021 ± 0.0000,0.0345 ± 0.0286,0.1071 ± 0.0000,0.0982 ± 0.0793
heart_failure,zenith,ddp,0.8163 ± 0.0000,0.7286 ± 0.1321,0.6667 ± 0.0000,0.7056 ± 0.2674,0.8000 ± 0.0000,0.7233 ± 0.1804,0.7273 ± 0.0000,0.6486 ± 0.1114,0.0021 ± 0.0000,0.0235 ± 0.0271,0.1071 ± 0.0000,0.1125 ± 0.0861
heart_failure,zenith,ddp + deo,0.8163 ± 0.0000,0.7837 ± 0.0497,0.6667 ± 0.0000,0.6694 ± 0.2151,0.8000 ± 0.0000,0.7658 ± 0.1091,0.7273 ± 0.0000,0.6784 ± 0.1125,0.0021 ± 0.0000,0.0385 ± 0.0391,0.1071 ± 0.0000,0.1286 ± 0.0870
heart_failure,zenith,ddp_kl,0.8163 ± 0.0000,0.7908 ± 0.0458,0.6667 ± 0.0000,0.6250 ± 0.2170,0.8000 ± 0.0000,0.8003 ± 0.0974,0.7273 ± 0.0000,0.6654 ± 0.1394,0.0021 ± 0.0000,0.0572 ± 0.0484,0.1071 ± 0.0000,0.0982 ± 0.0694
heart_failure,zenith,ddp_kl + deo_kl,0.8163 ± 0.0000,0.7878 ± 0.0416,0.6667 ± 0.0000,0.6306 ± 0.1918,0.8000 ± 0.0000,0.7867 ± 0.1014,0.7273 ± 0.0000,0.6707 ± 0.1113,0.0021 ± 0.0000,0.0607 ± 0.0512,0.1071 ± 0.0000,0.1179 ± 0.0906
heart_failure,zenith,deo,0.8163 ± 0.0000,0.7827 ± 0.0469,0.6667 ± 0.0000,0.6306 ± 0.1927,0.8000 ± 0.0000,0.7895 ± 0.1164,0.7273 ± 0.0000,0.6689 ± 0.0938,0.0021 ± 0.0000,0.0520 ± 0.0411,0.1071 ± 0.0000,0.1071 ± 0.0724
heart_failure,zenith,deo_kl,0.8163 ± 0.0000,0.7745 ± 0.0612,0.6667 ± 0.0000,0.5139 ± 0.2431,0.8000 ± 0.0000,0.7431 ± 0.2638,0.7273 ± 0.0000,0.5868 ± 0.2265,0.0021 ± 0.0000,0.0278 ± 0.0378,0.1071 ± 0.0000,0.1214 ± 0.0798
