dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
adult,topsis,ddp_kl,18,post,"[0.12556368112564087, 0.6367165446281433]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
adult,topsis,ddp_kl,18,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,19,post,"[0.11181584745645523, 0.8680030107498169]",0.7916418503077228,0.16809078771695593,0.950188679245283,0.2856494611457743,0.03561865233390925,0.0023775125663672847
adult,topsis,ddp_kl,19,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,0,post,"[0.09390028566122055, 0.10481519252061844]",0.8474290252134207,0.5742323097463284,0.7515289183994408,0.6510255051842883,0.1615342008178866,0.04898818540864591
adult,topsis,deo_kl,0,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,1,post,"[0.4460250437259674, 0.5026893019676208]",0.8476275560849712,0.572630173564753,0.7533813455120323,0.6506864901767427,0.160970402538276,0.0492263326345419
adult,topsis,deo_kl,1,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,2,post,"[0.11325868964195251, 0.3741866648197174]",0.8183442525312686,0.3014686248331108,0.8974562798092209,0.4513292024785129,0.0685982444275172,0.011680244641121773
adult,topsis,deo_kl,2,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,3,post,"[0.13993549346923828, 0.6999222040176392]",0.80252795976441,0.22029372496662217,0.9280089988751407,0.35606387570133796,0.04709065717802524,0.002208942796018132
adult,topsis,deo_kl,3,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
